 

stn;time;htoautd0
DAV;20230225;25
DAV;20230226;23
DAV;20230227;23
DAV;20230228;23
DAV;20230301;22
DAV;20230302;22
DAV;20230303;20
DAV;20230304;20
DAV;20230305;19
DAV;20230306;18
DAV;20230307;18
DAV;20230308;16
DAV;20230309;14
DAV;20230310;9
DAV;20230311;23
DAV;20230312;28
DAV;20230313;17
DAV;20230314;19
DAV;20230315;17
DAV;20230316;14
DAV;20230317;12
DAV;20230318;8
DAV;20230319;4
DAV;20230320;0
DAV;20230321;0
DAV;20230322;0
DAV;20230323;0
DAV;20230324;0
DAV;20230325;0
DAV;20230326;0
DAV;20230327;17
DAV;20230328;18
DAV;20230329;13
DAV;20230330;5
DAV;20230331;0
